episode,reward,steps,total_steps
745,-24.377948904388216,200,149000
746,-24.463207645093945,200,149200
747,-23.982859893610463,200,149400
748,-24.346881229761383,200,149600
749,-24.411950431628735,200,149800
750,-24.144702950280927,200,150000
751,-25.53894178882126,200,150200
752,-26.103021185299635,200,150400
753,-24.4869241133063,200,150600
754,-24.052992878136692,200,150800
755,-24.705452024697426,200,151000
756,-25.736003667842535,200,151200
757,-24.131383535638967,200,151400
758,-24.782100771115935,200,151600
759,-24.917158711388854,200,151800
760,-23.278536247394612,200,152000
761,-23.581825468983272,200,152200
762,-24.96653965477036,200,152400
763,-23.98548985478158,200,152600
764,-23.696603880410436,200,152800
765,-25.961052873544148,200,153000
766,-24.117789542251206,200,153200
767,-23.761308228126666,200,153400
768,-26.82137768769067,200,153600
769,-23.719429890143317,200,153800
770,-25.125858208578865,200,154000
771,-24.633101361342735,200,154200
772,-25.73665111218196,200,154400
773,-22.831800361148147,200,154600
774,-24.077103815081625,200,154800
775,-23.376522765409078,200,155000
776,-22.90221915405225,200,155200
777,-26.63781675239818,200,155400
778,-20.99008333311186,200,155600
779,-22.848152815679235,200,155800
780,-25.463566901091028,200,156000
781,-24.266092664867983,200,156200
782,-21.93439067367983,200,156400
783,-23.52452054602891,200,156600
784,-25.9577831461438,200,156800
785,-26.10463287580426,200,157000
786,-24.545656837544605,200,157200
787,-24.914502039410735,200,157400
788,-23.715504813842742,200,157600
789,-24.428591730291473,200,157800
790,-23.570172097695195,200,158000
791,-24.744992446346764,200,158200
792,-23.16872664001977,200,158400
793,-23.585861479560304,200,158600
794,-24.802702289610153,200,158800
795,-25.034870837797136,200,159000
796,-25.69273457965073,200,159200
797,-23.178146360908485,200,159400
798,-28.61442274864776,200,159600
799,-22.984072158842526,200,159800
800,-26.235815960983505,200,160000
801,-25.11056628719297,200,160200
802,-21.749968946659234,200,160400
803,-25.56778649786697,200,160600
804,-21.545493880352584,200,160800
805,-22.590374970021355,200,161000
806,-21.767812470217017,200,161200
807,-20.801939536874542,200,161400
808,-25.60849982317389,200,161600
809,-27.49061301159091,200,161800
810,-25.153704515114484,200,162000
811,-25.116321501762275,200,162200
812,-26.120793419697787,200,162400
813,-23.00390874047425,200,162600
814,-23.055605395026873,200,162800
815,-25.826105314422442,200,163000
816,-23.48170144895815,200,163200
817,-24.781677075280818,200,163400
818,-23.645221074662633,200,163600
819,-26.855489381539343,200,163800
820,-24.084286470712488,200,164000
821,-23.916498703027973,200,164200
822,-24.63359465112781,200,164400
823,-23.913320478741348,200,164600
824,-24.27492615375443,200,164800
825,-24.241199432506416,200,165000
826,-25.662889365664853,200,165200
827,-22.880778069793386,200,165400
828,-26.28750614719145,200,165600
829,-23.35755653914539,200,165800
830,-28.11798306349162,200,166000
831,-23.57174291674105,200,166200
832,-26.112108349825903,200,166400
833,-25.618803357602726,200,166600
834,-24.49365488309665,200,166800
835,-24.916062586233963,200,167000
836,-25.91214128706202,200,167200
837,-23.462220850672782,200,167400
838,-25.462143522333584,200,167600
839,-25.960021510664806,200,167800
840,-26.696099659044386,200,168000
841,-25.149484231084955,200,168200
842,-24.506449466546297,200,168400
843,-25.453220166426387,200,168600
844,-25.88761591858451,200,168800
845,-24.81264264884553,200,169000
846,-25.628490634956883,200,169200
847,-22.445079097378684,200,169400
848,-26.53559909606339,200,169600
849,-25.493943516750218,200,169800
850,-26.49463270145534,200,170000
851,-25.913760902533415,200,170200
852,-25.816642695515714,200,170400
853,-25.181998073153803,200,170600
854,-24.64778944610196,200,170800
855,-27.68433112016277,200,171000
856,-25.173507330646185,200,171200
857,-23.238562137866086,200,171400
858,-27.49411656445604,200,171600
859,-23.951068662249302,200,171800
860,-28.019978508067688,200,172000
861,-25.719630844684982,200,172200
862,-25.76127659784471,200,172400
863,-25.429246064692567,200,172600
864,-25.119568790572078,200,172800
865,-26.488160659990736,200,173000
866,-26.16986094311813,200,173200
867,-24.450633286998716,200,173400
868,-26.168135862039296,200,173600
869,-26.95196179192635,200,173800
870,-29.297887175941813,200,174000
871,-24.977723087940674,200,174200
872,-26.379253821477548,200,174400
