step,df,V,P,Q,I,action,reward,load_disturbance
38,-0.004481804557144642,0.9979665875434875,0.5529712438583374,0.18285146355628967,0.5836057066917419,-0.00041064093238674104,-0.0004431666455471677,0.0
39,-0.00555420620366931,0.9985050559043884,0.5572196245193481,0.18411248922348022,0.5877271294593811,9.83491372608114e-06,-0.0006393683895887957,0.0
40,-0.0049604629166424274,0.9972160458564758,0.5546225309371948,0.18544618785381317,0.5864372253417969,0.000262888876022771,-0.0005696748776779705,0.0
41,-0.004868243355304003,0.99810391664505,0.5620058178901672,0.18604238331317902,0.593123197555542,0.00016191561007872224,-0.0005099621516156269,0.0
42,-0.003997120540589094,0.9978219866752625,0.5524947047233582,0.1822699010372162,0.5830539464950562,0.0003443212481215596,-0.0003670426802929573,0.0
43,-0.00398190738633275,0.9970256090164185,0.5634834170341492,0.1902303397655487,0.5965020656585693,-6.808254693169147e-05,-0.0004056191882308475,0.0
44,-0.002371543785557151,0.9978006482124329,0.5561363101005554,0.1846526861190796,0.5872815847396851,0.0003616834001149982,-0.00016095857497343147,0.0
45,-0.0006377751124091446,1.0002328157424927,0.5503216981887817,0.18319487571716309,0.5798773765563965,-0.0001240024430444464,-8.732035315561655e-06,0.0
46,-0.0033196578733623028,0.9986221194267273,0.553445041179657,0.18166232109069824,0.5833005905151367,-0.000532227975782007,-0.00023956249795726203,0.0
47,-0.0051218606531620026,1.0000333786010742,0.5653875470161438,0.18450185656547546,0.5947103500366211,-0.00014233318506740034,-0.0005247207929252188,0.0
48,-0.004112676717340946,1.0017693042755127,0.5490249395370483,0.17889225482940674,0.5764148235321045,0.00041491977754049003,-0.00036973599349439975,0.0
49,-0.0042698681354522705,1.002305507659912,0.5588757395744324,0.18142496049404144,0.5862342715263367,-0.00024588164524175227,-0.00041790585967198984,0.0
50,-0.0035028245765715837,1.001307725906372,0.5610026717185974,0.18061745166778564,0.5885915160179138,6.687750283163041e-05,-0.0002625187433494295,0.0
51,-0.014174207113683224,0.9999048709869385,0.7982485890388489,0.31737905740737915,0.8591104745864868,2.9458531571435742e-05,-0.004018253959178814,0.35
52,-0.022761669009923935,0.9982405304908752,0.8145089149475098,0.3272205591201782,0.8793273568153381,0.002538027474656701,-0.010397308779487434,0.35
53,-0.03068700060248375,0.9966405034065247,0.834205687046051,0.3272630572319031,0.8991233706474304,0.0026181351859122515,-0.018950130574202525,0.35
54,-0.03812137618660927,0.9962904453277588,0.8463335633277893,0.3266409933567047,0.9105573296546936,0.0027803494594991207,-0.029206264215633042,0.35
55,-0.04430074989795685,0.9972372055053711,0.8532154560089111,0.3263017535209656,0.9160128235816956,0.0029269589576870203,-0.039331747169913236,0.35
56,-0.0514562614262104,0.9963541030883789,0.865522027015686,0.3299531042575836,0.9296709895133972,0.0030415626242756844,-0.05309248731282121,0.35
57,-0.05757061019539833,0.9958234429359436,0.8803865313529968,0.3294263482093811,0.9439435601234436,0.003167610615491867,-0.06646695907585459,0.35
58,-0.0648343488574028,0.9958585500717163,0.8888590931892395,0.333268940448761,0.9532309770584106,0.0035074700135737658,-0.08424754735244054,0.35
59,-0.0711127445101738,0.9945083856582642,0.9086322784423828,0.34137028455734253,0.9760019779205322,0.004815798718482256,-0.10145395845457311,0.35
60,-0.0760626271367073,0.9938852190971375,0.9181348085403442,0.3377469480037689,0.9843053817749023,0.008305438794195652,-0.11612128772344735,0.35
61,-0.07458803057670593,0.9933992028236389,0.91463702917099,0.34089258313179016,0.982584536075592,0.009945977479219437,-0.11175318452245278,0.35
62,-0.07895049452781677,0.9926638007164001,0.9275447130203247,0.33630430698394775,0.9939221143722534,0.00961342640221119,-0.12524802849606806,0.35
